instrument,side,units,entry_time,exit_time,entry_price,exit_price,stop_price,pnl,r_multiple,bars_held,spread_paid_pips,exit_reason,fill_timing,ambiguous_exit,gap_fill,gap_fill_distance_pips
AUD_USD,short,412,2023-03-31T05:00:00+00:00,2023-04-03T09:00:00+00:00,0.6709600,0.67405,0.67405,-1.2730800,-1,8,1.2,stop,next_bar_open,False,False,
AUD_USD,long,429,2023-04-06T17:00:00+00:00,2023-04-07T09:00:00+00:00,0.6679950,0.66503,0.66503,-1.2719850,-1,5,1.3,stop,next_bar_open,False,False,
AUD_USD,short,524,2023-04-20T17:00:00+00:00,2023-04-24T13:00:00+00:00,0.6749950,0.66862,0.67743,3.3405000,2.618069815195071868583162218,12,1.3,time,next_bar_open,False,False,
AUD_USD,long,551,2023-07-06T05:00:00+00:00,2023-07-06T13:00:00+00:00,0.6654500,0.66312,0.66312,-1.2838300,-1,3,1.2,stop,next_bar_open,False,False,
AUD_USD,short,480,2023-07-12T13:00:00+00:00,2023-07-12T13:00:00+00:00,0.6728000,0.67546,0.67546,-1.2768000,-1,1,1.2,stop,next_bar_open,False,False,
AUD_USD,short,333,2023-07-20T13:00:00+00:00,2023-07-24T09:00:00+00:00,0.6811850,0.67355,0.68498,2.5424550,2.011857707509881422924901186,12,1.3,time,next_bar_open,False,False,
AUD_USD,long,455,2023-08-16T05:00:00+00:00,2023-08-16T17:00:00+00:00,0.6453050,0.64250,0.64250,-1.2762750,-1,4,1.1,stop,next_bar_open,False,False,
AUD_USD,short,376,2023-08-22T13:00:00+00:00,2023-08-23T13:00:00+00:00,0.6426750,0.64605,0.64605,-1.2690000,-1,7,1.1,stop,next_bar_open,False,False,
AUD_USD,long,423,2023-08-25T17:00:00+00:00,2023-08-29T13:00:00+00:00,0.6407500,0.64606,0.63774,2.2461300,1.764119601328903654485049834,12,1.4,time,next_bar_open,False,False,
AUD_USD,short,296,2023-08-30T17:00:00+00:00,2023-09-01T13:00:00+00:00,0.6482550,0.64493,0.65253,0.9842000,0.7777777777777777777777777778,12,1.1,time,next_bar_open,False,False,
AUD_USD,short,466,2023-10-10T05:00:00+00:00,2023-10-10T21:00:00+00:00,0.6408350,0.64359,0.64359,-1.2838300,-1,5,1.3,stop,next_bar_open,False,False,
AUD_USD,long,496,2023-10-23T13:00:00+00:00,2023-10-25T09:00:00+00:00,0.6312600,0.63385,0.62868,1.2846400,1.003875968992248062015503876,12,1.2,time,next_bar_open,False,False,
AUD_USD,short,327,2023-11-01T17:00:00+00:00,2023-11-01T17:00:00+00:00,0.6357800,0.63967,0.63967,-1.2720300,-1,1,1.2,stop,next_bar_open,False,False,
