instrument,bar_type,method,threshold_pips,bar_count,bars_per_year,bars_per_day,median_minutes_per_bar,avg_overshoot_pips,multi_threshold_rate,spread_pips,round_trip_cost_pips,cost_to_threshold,baseline_stop_pips,cost_to_risk_baseline,cost_to_risk_wide,min_gross_edge_baseline_r,cadence_class,label
USD_CHF,range,,15.0,6612,2550.54,6.983,59.0,1.7803,0.0121,1.9389,2.3389,0.1559,30.0,0.078,0.039,0.078,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,range,,20.0,3713,1432.27,3.921,109.0,1.9353,0.0081,1.9389,2.3389,0.1169,40.0,0.0585,0.0292,0.0585,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,range,,25.0,2420,933.5,2.556,187.0,1.9618,0.007,1.9389,2.3389,0.0936,50.0,0.0468,0.0234,0.0468,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_CHF,range,,30.0,1637,631.46,1.729,296.0,2.1929,0.0073,1.9389,2.3389,0.078,60.0,0.039,0.0195,0.039,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_CHF,volatility,abs_close,20.0,38442,14828.75,40.599,20.0,1.0302,0.0011,1.9389,2.3389,0.1169,20.0,0.1169,0.0585,0.1169,sane,COST_DOMINATED
USD_CHF,volatility,abs_close,30.0,26042,10045.53,27.503,30.0,1.0433,0.0005,1.9389,2.3389,0.078,30.0,0.078,0.039,0.078,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,volatility,abs_close,40.0,19700,7599.15,20.805,40.0,1.0363,0.0003,1.9389,2.3389,0.0585,40.0,0.0585,0.0292,0.0585,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,volatility,abs_close,50.0,15834,6107.86,16.722,50.0,1.057,0.0004,1.9389,2.3389,0.0468,50.0,0.0468,0.0234,0.0468,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_CHF,volatility,true_range,20.0,63630,24544.85,67.2,11.0,1.2991,0.0013,1.9389,2.3389,0.1169,20.0,0.1169,0.0585,0.1169,very_high,TOO_NOISY
USD_CHF,volatility,true_range,30.0,43275,16693.05,45.703,17.0,1.3175,0.0006,1.9389,2.3389,0.078,30.0,0.078,0.039,0.078,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,volatility,true_range,40.0,32786,12646.98,34.626,23.0,1.3362,0.0003,1.9389,2.3389,0.0585,40.0,0.0585,0.0292,0.0585,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_CHF,volatility,true_range,50.0,26399,10183.24,27.88,28.0,1.3375,0.0002,1.9389,2.3389,0.0468,50.0,0.0468,0.0234,0.0468,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_JPY,range,,10.0,33457,12905.82,35.334,10.0,2.7097,0.0434,1.7952,2.1952,0.2195,20.0,0.1098,0.0549,0.1098,sane,COST_DOMINATED
USD_JPY,range,,15.0,15867,6120.59,16.757,21.0,3.3578,0.0342,1.7952,2.1952,0.1463,30.0,0.0732,0.0366,0.0732,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_JPY,range,,20.0,9294,3585.1,9.815,38.0,3.8025,0.0282,1.7952,2.1952,0.1098,40.0,0.0549,0.0274,0.0549,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_JPY,range,,25.0,6174,2381.58,6.52,59.0,4.3154,0.0253,1.7952,2.1952,0.0878,50.0,0.0439,0.022,0.0439,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_JPY,range,,30.0,4403,1698.43,4.65,83.0,4.6359,0.0232,1.7952,2.1952,0.0732,60.0,0.0366,0.0183,0.0366,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_JPY,volatility,abs_close,20.0,55990,21597.77,59.131,13.0,1.6353,0.0038,1.7952,2.1952,0.1098,20.0,0.1098,0.0549,0.1098,very_high,TOO_NOISY
USD_JPY,volatility,abs_close,30.0,38228,14746.2,40.373,20.0,1.6877,0.0025,1.7952,2.1952,0.0732,30.0,0.0732,0.0366,0.0732,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_JPY,volatility,abs_close,40.0,29031,11198.52,30.66,26.0,1.7258,0.0017,1.7952,2.1952,0.0549,40.0,0.0549,0.0274,0.0549,sane,FEASIBLE_ONLY_WITH_LARGER_STOPS
USD_JPY,volatility,abs_close,50.0,23402,9027.17,24.715,33.0,1.7635,0.0015,1.7952,2.1952,0.0439,50.0,0.0439,0.022,0.0439,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
USD_JPY,volatility,true_range,20.0,99101,38227.56,104.661,7.0,2.1324,0.0051,1.7952,2.1952,0.1098,20.0,0.1098,0.0549,0.1098,very_high,TOO_NOISY
USD_JPY,volatility,true_range,30.0,68111,26273.37,71.933,10.0,2.2025,0.0028,1.7952,2.1952,0.0732,30.0,0.0732,0.0366,0.0732,very_high,TOO_NOISY
USD_JPY,volatility,true_range,40.0,51930,20031.66,54.844,14.0,2.2363,0.002,1.7952,2.1952,0.0549,40.0,0.0549,0.0274,0.0549,very_high,TOO_NOISY
USD_JPY,volatility,true_range,50.0,41961,16186.18,44.315,17.0,2.2715,0.0014,1.7952,2.1952,0.0439,50.0,0.0439,0.022,0.0439,sane,FEASIBLE_FOR_STRATEGY_RESEARCH
