timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-02-23T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.1,22.233257639937502,45.0,22,Sun,Asia/late
2020-03-12T01:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,57.56444356072573,115.9,1,Thu,Asia/late
2020-03-16T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.9 > cap 1.5 pips,1.9,76.66989173850696,154.3,5,Mon,Asia/late
2020-04-07T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.4,42.732134241639415,86.2,21,Tue,Asia/late
2020-04-08T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.8 > cap 1.5 pips,1.8,42.34505452467895,85.6,5,Wed,Asia/late
2020-04-15T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.4,36.32538198366677,73.4,21,Wed,Asia/late
2020-05-05T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,32.68547527037552,66.2,5,Tue,Asia/late
2020-05-06T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 2.3 > cap 1.5 pips,2.3,31.771076325862296,64.7,5,Wed,Asia/late
2020-05-27T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.5,31.893032934258336,64.5,21,Wed,Asia/late
2020-06-29T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,27.191511703859117,55.2,5,Mon,Asia/late
2020-07-01T13:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 10.0 > cap 1.5 pips,10.0,32.37352349272421,69.7,13,Wed,London/NY overlap
2020-07-01T13:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 30.89% > 8.0%,10.0,32.37352349272421,69.7,13,Wed,London/NY overlap
2020-07-05T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.5,26.618829512450752,54.0,21,Sun,Asia/late
2020-07-06T01:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,26.95319883298988,54.7,1,Mon,Asia/late
2020-08-03T17:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 2.1 > cap 1.5 pips,2.1,43.71229826738292,88.5,17,Mon,NY
2020-08-09T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,40.143101881224744,81.1,21,Sun,Asia/late
2020-08-09T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.6,40.143101881224744,81.1,21,Sun,Asia/late
2020-08-20T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.4,34.08170113990304,68.9,21,Thu,Asia/late
2020-08-24T09:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.8 > cap 1.5 pips,1.8,34.11238961766111,69.1,9,Mon,London
2020-09-17T17:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 2.2 > cap 1.5 pips,2.2,35.765833481384156,72.6,17,Thu,NY
2020-09-17T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.5,34.60398823271379,70.0,21,Thu,Asia/late
2020-09-30T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.8 > cap 1.5 pips,1.8,27.39682045150662,55.7,5,Wed,Asia/late
2020-10-02T01:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,29.18307312469853,59.2,1,Fri,Asia/late
2020-10-06T17:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 2.3 > cap 1.5 pips,2.3,28.961195903715865,59.1,17,Tue,NY
2020-10-09T17:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 10.0 > cap 1.5 pips,10.0,22.722425861444716,50.4,17,Fri,NY
2020-10-09T17:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 44.01% > 8.0%,10.0,22.722425861444716,50.4,17,Fri,NY
2020-10-21T01:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,23.74592758352299,48.3,1,Wed,Asia/late
2020-11-03T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.9 > cap 1.5 pips,1.9,32.02832044029788,65.0,22,Tue,Asia/late
2020-11-03T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.9,32.02832044029788,65.0,22,Tue,Asia/late
2020-11-04T02:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.9 > cap 1.5 pips,1.9,35.69772612313376,72.3,2,Wed,Asia/late
2020-12-16T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.3,31.774812253149303,64.2,22,Wed,Asia/late
2020-12-21T14:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,36.46621688131816,73.7,14,Mon,London/NY overlap
2020-12-21T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 4.2 > cap 1.5 pips,4.2,35.65434424693814,73.4,18,Mon,NY
2020-12-21T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 11.78% > 8.0%,4.2,35.65434424693814,73.4,18,Mon,NY
2020-12-28T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.4,29.54648489046221,59.8,22,Mon,Asia/late
2021-01-03T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.4,30.254930074711005,61.2,22,Sun,Asia/late
2021-01-06T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 7.6 > cap 1.5 pips,7.6,34.877923903328686,73.6,18,Wed,NY
2021-01-06T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TO_ATR,spread/atr 21.79% > 8.0%,7.6,34.877923903328686,73.6,18,Wed,NY
2021-01-28T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.4,28.341950433021186,57.4,22,Thu,Asia/late
2021-01-31T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,26.73352623291263,54.3,22,Sun,Asia/late
2021-01-31T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.6,26.73352623291263,54.3,22,Sun,Asia/late
2021-02-16T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.4,23.272201875910433,47.2,22,Tue,Asia/late
2021-02-24T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 2.2 > cap 1.5 pips,2.2,27.5880191127197,56.3,18,Wed,NY
2021-04-22T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.4,25.695121395119173,52.1,21,Thu,Asia/late
2021-05-24T05:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,26.791357872817834,54.4,5,Mon,Asia/late
2021-07-20T01:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,21.41979674025617,43.7,1,Tue,Asia/late
2021-08-16T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 9.61% > 8.0%,1.5,15.611221536753295,32.0,21,Mon,Asia/late
2021-08-16T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.5,15.611221536753295,32.0,21,Mon,Asia/late
2021-08-17T01:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TO_ATR,spread/atr 8.55% > 8.0%,1.3,15.20327714127095,31.1,1,Tue,Asia/late
2021-10-17T21:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.4,19.746124836062037,40.2,21,Sun,Asia/late
2021-11-08T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.5,22.993975316975607,46.7,22,Mon,Asia/late
2021-11-28T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.4,27.130893627537112,55.0,22,Sun,Asia/late
2021-12-09T14:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,26.08229361365827,53.0,14,Thu,London/NY overlap
2021-12-20T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.8 > cap 1.5 pips,1.8,28.823349086472938,58.5,18,Mon,NY
2022-01-05T18:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,26.125265533452684,53.1,18,Wed,NY
2022-01-17T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SESSION_BLOCKED,inside blocked session window,1.5,23.412530604531135,47.6,22,Mon,Asia/late
2022-02-10T14:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,33.734794316568404,68.3,14,Thu,London/NY overlap
2022-02-21T02:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,long,SPREAD_TOO_WIDE,spread 1.6 > cap 1.5 pips,1.6,27.158487097915657,55.1,2,Mon,Asia/late
2022-02-23T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,29.088874474356647,59.0,22,Wed,Asia/late
2022-02-23T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.7,29.088874474356647,59.0,22,Wed,Asia/late
2022-02-24T02:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.8 > cap 1.5 pips,1.8,33.118240583331215,67.1,2,Thu,Asia/late
2022-02-24T10:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.9 > cap 1.5 pips,1.9,36.35144213562731,73.7,10,Thu,London
2022-02-27T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,48.26376485915659,97.4,22,Sun,Asia/late
2022-02-27T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SESSION_BLOCKED,inside blocked session window,1.7,48.26376485915659,97.4,22,Sun,Asia/late
2022-02-28T22:00:00+00:00,EUR_USD,H4,train,0.1.0-c007,short,SPREAD_TOO_WIDE,spread 1.7 > cap 1.5 pips,1.7,43.909918791285634,88.7,22,Mon,Asia/late
